project_id,grantee,subgrantee,project_name,year,status,project_lead,other_project_lead,category,sub_category,recovery_domain,project_descripton,project_benefit,watershed,resource,county,HUC,geometry
8432,ecoatlas,NA,Highway 299 – China Slide Safety Project (Impact),NA,Completed,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.4537, 40.7902)"
7869,ecoatlas,NA,Seiad Creek Off-Channel Pond Habitat Construction,NA,Completed,NA,NA,NA,NA,NA,"Refugia for summer and winter-rearing Coho; Tributary rearing enhancement for rearing Coho; Connectivity of floodplains, stream channel, and rearing habitat in the form of off-channel ponds; Total BMPs: 2 (Revegetation; Instream restoration and channel construction).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010206,"c(-122.68795, 41.8802)"
10728,ecoatlas,NA,Post Mile 71.56,NA,Construction planned,NA,NA,NA,NA,NA,Not provided,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.74458, 40.63731)"
8673,ecoatlas,NA,Hotelling Gulch,NA,Construction planned,NA,NA,NA,NA,NA,The project aims improve natural stream function and increase access to low gradient stream habitat for anadromous fish in Hotelling Gulch.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010210,"c(-123.27749, 41.23873)"
7864,ecoatlas,NA,Hawkins Pivot Upgrade,NA,Completed,NA,NA,NA,NA,NA,Increase/improve water conservation; Total BMPs: 1 (Upgraded to high pressure sprinkler heads).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.47205, 42.27502)"
7832,ecoatlas,NA,"Deming Creek Ranches, South Fork Sprague",NA,Completed,NA,NA,NA,NA,NA,"Improve/increase stream rearing habitat, improve/increase stream interaction with floodplain, improve/increase stream spawning habitat, improve/increase stream cool water habitat, improve/increase fish passage, improve/increase stream flow; Total BMPs: 1 (Instream water right transfers/leases).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.03074, 42.41723)"
7866,ecoatlas,NA,Lost River Point Source Restoration,NA,Completed,NA,NA,NA,NA,NA,Improve water quality by reducing sediment load from the point source; Total BMPs: 2 (Irrigation system improved; Tailwater collection).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.31299, 42.14326)"
8450,ecoatlas,NA,CDOT - Highway 3 – Hayfork Bike Lane Project,NA,Completed,NA,NA,NA,NA,NA,"This project created a bike route and pedestrian facility on Highway 3, in the town of Hayfork, in Trinity County.  The highway was widened, as needed, to provide an 8-foot paved shoulder, on both sides of the highway from Post Mile (PM) 7.3 near to Reservoir Road near PM 7.95.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010212,"c(-123.125, 40.5)"
7836,ecoatlas,NA,UKSIP Sprague River Floodpain Rehabilitation,NA,Completed,NA,NA,NA,NA,NA,Reconnect floodplain; Total BMPs: 1 (Riparian Management).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.17, 42.58)"
7860,ecoatlas,NA,UKSIP Threemile Creek Habitat Enhancement,NA,Completed,NA,NA,NA,NA,NA,Increase habitat complexity; Total BMPs: 1 (Instream restoration and channel construction).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
8269,ecoatlas,NA,Hayfork Bike Lane,NA,Construction completed,NA,NA,NA,NA,NA,"Roadway improvements in the town of Hayfork required revegetation of a roadside area, located at Postmile 7.1, Highway 3, Trinity County, CA.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010212,"c(-123.16848, 40.55363)"
10256,ecoatlas,NA,Highway 96 Culverts,NA,Construction completed,NA,NA,NA,NA,NA,The California Department of Transportation (Caltrans) will be replacing 28 culverts on State Route (SR) 96 in Siskiyou County along the Klamath River Highway from Post Mile (PM) 23.2 to PM 56.0. The culverts will be sized based on regional base flood estimates with an emphasis on a minimum diameter of 24 inches.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.32774, 41.8259)"
7851,ecoatlas,NA,UKSIP Traynham Ranch Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,"Objectives: Enhance water quality, Improve riparian habitat; Goals: Establish native riparian vegetation, Reduce bank erosion, Provide filtering of runoff through vegetation, Provide stream shading through vegetation.; Total BMPs: 1 (Riparian Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
10804,ecoatlas,NA,"SR 3, PM 24.97",NA,In-progress/Implementation,NA,NA,NA,NA,NA,The primary purpose of the Project is to replace and upsize a culvert to improve the structural integrity and proper drainage to maintain the highway and protect the traveling public. The Project serves to improve water quality throughout Fraszier Creek and restore anadromous fish passage through the culvert structure.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.97469, 40.61708)"
10227,ecoatlas,NA,Culvert Location 2,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The project includes replacement of four culverts, of which two are jurisdictional and will be addressed in this certification. The primary purpose of the Project is to protect the structural integrity of the roadway by rehabilitating two deteriorating culverts with deficiencies that include rusted inverts, joint separation, and collapsed sides.",Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.94687, 40.64762)"
10226,ecoatlas,NA,Culvert Location 1,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The project includes replacement of four culverts, of which two are jurisdictional and will be addressed in this certification. The primary purpose of the Project is to protect the structural integrity of the roadway by rehabilitating two deteriorating culverts with deficiencies that include rusted inverts, joint separation, and collapsed sides.",Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.99791, 40.61827)"
8231,ecoatlas,NA,SIS 96 Culverts,NA,Construction planned,NA,NA,NA,NA,NA,The California Department of Transportation (Caltrans) proposes to replace 28 culverts on State Route (SR) 96 in Siskiyou County along the Klamath River Highway from Post Mile (PM) 23.2 to PM 56.0. The culverts will be sized based on regional base flood estimates with an emphasis on a minimum diameter of 24 inches.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.50039, 41.61035)"
11126,ecoatlas,NA,HUM-299-PM 30.7/33.35,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The California Department of Transportation (Caltrans), in conjunction with the Federal Highway Administration, proposes to implement the Hum 299 Curve Improvement Project (EA: 01-0J410) to decrease collision rates and improve the overall safety of curves on State Route (SR) 299, between Post Miles (PMs) 30.7 and 33.4 near the town of Willow Creek",Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Humboldt,18010211,"c(-123.72862, 40.90664)"
10848,ecoatlas,NA,In-progress/Implementation,NA,Construction planned,NA,NA,NA,NA,NA,"The California Department of Transportation (Caltrans), in conjunction with the Federal Highway Administration, proposes to implement the Hum 299 Curve Improvement Project (EA: 01-0J410) to decrease collision rates and improve the overall safety of curves on State Route (SR) 299, between Post Miles (PMs) 30.7 and 33.4 near the town of Willow Creek",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Humboldt,18010211,"c(-123.72817, 40.90663)"
7738,ecoatlas,NA,South Fork Scott River,NA,Construction planned,NA,NA,NA,NA,NA,Riparian restoration and flood plain reconnection on a reach of the South Fork Scott River about 2 miles upstream of Callahan.  The project includes moving mining tailings/rock piles out of the riparian bench and stabilizing the stream bank with log revetments.,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010208,"c(-122.83649, 41.2891)"
7849,ecoatlas,NA,Harlowe Ranch LLC Klamath Off-project Water Lease,NA,Completed,NA,NA,NA,NA,NA,Improve/increase stream flow; Total BMPs: 1 (Instream water right transfers/leases).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-121.99572, 42.63202)"
11037,ecoatlas,NA,Portuguese Creek,NA,In-progress/Implementation,NA,NA,NA,NA,NA,The project will replace two existing culverts with two new full-span bridges at Cade and Portuguese Creeks. The existing two culverts are identified as partial or total barriers to fish passage. Replacing the culverts with bridges will allow fish to migrate upstream to spawning habitat and freshwater rearing habitat.,Non-mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.24554, 41.85886)"
11038,ecoatlas,NA,Cade Creek,NA,In-progress/Implementation,NA,NA,NA,NA,NA,The project will replace two existing culverts with two new full-span bridges at Cade and Portuguese Creeks. The existing two culverts are identified as partial or total barriers to fish passage. Replacing the culverts with bridges will allow fish to migrate upstream to spawning habitat and freshwater rearing habitat.,Non-mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.34886, 41.80811)"
7856,ecoatlas,NA,Annie Creek Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,"Objectives: Enhance water quality, Improve riparian habitat; Goals: Establish native riparian vegetation, Reduce bank erosion, Provide filtering of runoff through vegetation, Provide stream shading through vegetation.; Total BMPs: 1 (2 Fencing; Revegetation).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
7862,ecoatlas,NA,Stukel Juniper Removal II,NA,Completed,NA,NA,NA,NA,NA,"Increase native plant species composition; Total BMPs: 1 (Upland treated for juniper by clearing, burning, thinning, or removal).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.65963, 42.10905)"
10224,ecoatlas,NA,Culvert Location 1,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The project includes replacement of four culverts, of which two are jurisdictional and will be addressed in this certification. The primary purpose of the Project is to protect the structural integrity of the roadway by rehabilitating two deteriorating culverts with deficiencies that include rusted inverts, joint separation, and collapsed sides.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.99795, 40.61826)"
10225,ecoatlas,NA,Culvert Location 2,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"The project includes replacement of four culverts, of which two are jurisdictional and will be addressed in this certification. The primary purpose of the Project is to protect the structural integrity of the roadway by rehabilitating two deteriorating culverts with deficiencies that include rusted inverts, joint separation, and collapsed sides.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.94663, 40.64783)"
7842,ecoatlas,NA,Rocky Ford Ranch,NA,Completed,NA,NA,NA,NA,NA,"Improve/increase stream spawning habitat, decrease livestock access to stream, decrease stream temperature, improve/increase stream cool water habitat, improve/increase stream off-channel habitat, improve/increase stream pools, increase wildlife habitat (vegetation for food, cover, or nesting), improve/increase stream interaction with floodplain, improve/increase stream slow water habitat, improve/increase stream refuge cover, improve/increase stream structure & complexity, improve/increase stream rearing habitat, increase future stream shading/increase vegetation to provide shade, increase streambank stabilization/protection, increase/improve aquatic habitat, increase/improve water quality, improve/increase stream summer habitat. ; Total BMPs: 2 (2 Created livestock stream crossing, planted/reseeded riparian vegetation; Instream restoration and channel construction).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010201,"c(-121.48007, 42.92706)"
7835,ecoatlas,NA,Sprague RM 43.5,NA,In-progress/Implementation,NA,NA,NA,NA,NA,"Restore riparian vegetation, nutrient filtration and reduced nutrient loading; Total BMPs: 1 (Riparian Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.5506, 42.4916)"
7840,ecoatlas,NA,Lower Williamson Streambank Protection,NA,Completed,NA,NA,NA,NA,NA,"Improve/increase stream spawning habitat, increase future stream shading/increase vegetation to provide shade, decrease livestock access to stream; The design objectives included the following: 1) Remove a portion of the existing remnant levee to allow hydraulic reconnection of the Cottonwood site to the Williamson River and Upper Klamath Lake; 2) Construct off channel slough to restore hydrologic connection under a variety of lake stage and streamflow conditions; 3) Create varied topography to re-establish a diversity of off channel wetland habitats including deep water wetland, emergent wetland, and riparian wet prairie; 4) Restore remnant agricultural toe drain to improve establishment of a variety of native wetland vegetation communities.",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010201,"c(-121.92649, 42.49784)"
7834,ecoatlas,NA,Hess Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,Decrease livestock access to stream; Total BMPs: 1 (Riparian fencing).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.36348, 42.46005)"
8510,ecoatlas,NA,"CDOT - State Route 101, Del Norte Culvert and Drainage Repairs (Impact)",NA,Completed,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Del Norte,18010209,"c(-124.04685, 41.47731)"
7833,ecoatlas,NA,South Fork Sprague In-stream Habitat Improvement and Upland Thinning,NA,Completed,NA,NA,NA,NA,NA,Thin upland forest and place wood instream.; Total BMPs: 2 (Riparian Management; Forest Thinning).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.17, 42.58)"
10317,ecoatlas,NA,Culvert PM 8.19,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Primary purpose of the overall project is to repair and replace 18 culverts that have decaying inverts or separated joints to ensure the continued function and safety of these facilities and the roadway. Project includes the construction and restoration work for a subset of five jurisdictional culverts to be permitted by the 401 Certificate.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.48699, 40.84942)"
10318,ecoatlas,NA,Culvert PM 11.82,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Primary purpose of the overall project is to repair and replace 18 culverts that have decaying inverts or separated joints to ensure the continued function and safety of these facilities and the roadway. Project includes the construction and restoration work for a subset of five jurisdictional culverts to be permitted by the 401 Certificate.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.4721, 40.80725)"
10315,ecoatlas,NA,Culvert 1 - PM 1.68,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Primary purpose of the overall project is to repair and replace 18 culverts that have decaying inverts or separated joints to ensure the continued function and safety of these facilities and the roadway. Project includes the construction and restoration work for a subset of five jurisdictional culverts to be permitted by the 401 Certificate.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.5757, 40.89172)"
10319,ecoatlas,NA,Culvert PM 45.12,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Primary purpose of the overall project is to repair and replace 18 culverts that have decaying inverts or separated joints to ensure the continued function and safety of these facilities and the roadway. Project includes the construction and restoration work for a subset of five jurisdictional culverts to be permitted by the 401 Certificate.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.03063, 40.73076)"
10316,ecoatlas,NA,Culvert PM 4.89,NA,In-progress/Implementation,NA,NA,NA,NA,NA,Primary purpose of the overall project is to repair and replace 18 culverts that have decaying inverts or separated joints to ensure the continued function and safety of these facilities and the roadway. Project includes the construction and restoration work for a subset of five jurisdictional culverts to be permitted by the 401 Certificate.,Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.5316, 40.87284)"
7850,ecoatlas,NA,UKL Watershed Riparian Fencing,NA,Completed,NA,NA,NA,NA,NA,"Objectives: Enhance water quality, Improve riparian habitat; Goals: Establish native riparian vegetation , Reduce bank erosion, Provide filtering of runoff through vegetation, Provide stream shading through vegetation.; Total BMPs: 1 (Riparian Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
11039,ecoatlas,NA,Cade Creek,NA,In-progress/Implementation,NA,NA,NA,NA,NA,The project will replace two existing culverts with two new full-span bridges at Cade and Portuguese Creeks. The existing two culverts are identified as partial or total barriers to fish passage. Replacing the culverts with bridges will allow fish to migrate upstream to spawning habitat and freshwater rearing habitat.,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.34844, 41.80783)"
11040,ecoatlas,NA,Portuguese Creek,NA,In-progress/Implementation,NA,NA,NA,NA,NA,The project will replace two existing culverts with two new full-span bridges at Cade and Portuguese Creeks. The existing two culverts are identified as partial or total barriers to fish passage. Replacing the culverts with bridges will allow fish to migrate upstream to spawning habitat and freshwater rearing habitat.,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010209,"c(-123.24492, 41.85897)"
7853,ecoatlas,NA,UKSIP Lower Sevenmile Creek Fish Passage,NA,Completed,NA,NA,NA,NA,NA,Fish Passage; Total BMPs: 1 (Fish passage).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.07, 42.4)"
7830,ecoatlas,NA,Fivemile Creek Streamflow Restoration,NA,Completed,NA,NA,NA,NA,NA,"Improve/increase fish passage, improve/increase stream flow, improve/increase stream cool water habitat, improve/increase stream rearing habitat, increase/improve water quality, increase/improve aquatic habitat; Total BMPs: 1 (Instream water right transferred/leased (Permanent instream transfer of 287.1 AF of water rights under Certificates: 45158, 47296, and 68022)).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-121.12669, 42.48029)"
8431,ecoatlas,NA,Highway 299 – China Slide Safety Project,NA,Completed,NA,NA,NA,NA,NA,"The purposes and objectives of the project are to reduce the number and severity of accidents within the project boundary, stabilize slopes that have the potential for failure, reinforce weak pockets, increase horizontal curve distance, increase stopping sight distance, and reduce sediment transport into the Trinity River.",Compensatory mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-123.4537, 40.7902)"
7865,ecoatlas,NA,Mathis-Stukel Juniper Removal Phase II,NA,Completed,NA,NA,NA,NA,NA,"Increase native plant species composition,decrease erosion/stream sedimentation, increase upland water storage capacity, increase/improve groundwater recharge, increase/improve water quality, increase wildlife habitat (vegetation for food, cover, or nesting), increase vegetation to filter runoff; Total BMPs: 1 (Upland, Grazing, and Irrigation Management).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.65947, 42.10872)"
7844,ecoatlas,NA,Lower Sevenmile Screen,NA,Completed,NA,NA,NA,NA,NA,Provide fish protection (e.g. by screening diversions); Total BMPs: 1 (Panel fish screens installed on diversions where no screen had existed previously).,Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.0676, 42.6819)"
10652,ecoatlas,NA,"SR 3, PM 25.24",NA,In-progress/Implementation,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.96589, 40.62042)"
7837,ecoatlas,NA,Chocktoot Ranch Spring Enhancement and Aspen Stand Improvement,NA,Completed,NA,NA,NA,NA,NA,"Increase wildlife habitat (vegetation for food, cover, or nesting), increase upland water storage capacity, decrease livestock access to stream; Total BMPs: 1 (Upland treated for juniper by clearing, burning, thinning, or removal; Off-chanel watering sites developed).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010202,"c(-120.8524, 42.82133)"
7859,ecoatlas,NA,Fourmile Wetlands Restoration,NA,Completed,NA,NA,NA,NA,NA,"Increase/improve water quality, increase/improve water conservation, increase/improve groundwater recharge, increase/improve aquatic habitat, increase wildlife habitat (vegetation for food, cover, or nesting), increase storage capacity of wetland, increase native plant species composition, increase net area of wetland; Total BMPs: 1 (Wetland restoration. Previously filled or drained wetland returned to grass/herb meadow wetland. Drainage canals were filled and meandered. A perimeter berm was repaired so that it will hold water throughout the summer to promote wetland plant growth).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-122.01938, 42.60928)"
7857,ecoatlas,NA,Harbor Isles Condominium Owners Association Lake Fringe Wetland,NA,Completed,NA,NA,NA,NA,NA,"Increase net area of wetland, increase vegetation to filter runoff, decrease road density, increase/improve aquatic habitat, increase/improve water quality, increase the number of wetland types at site, increase native plant species composition, decrease erosion/stream sedimentation, increase wildlife habitat (vegetation for food, cover, or nesting); Total BMPs: 1 (Wetland created: previous filled wetland restored to grass/herb meadow wetland).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010203,"c(-121.81587, 42.24932)"
7863,ecoatlas,NA,Chapman Fencing,NA,Completed,NA,NA,NA,NA,NA,"Decrease livestock access to stream, decrease erosion/stream sedimentation; Total BMPs: 1 (Riparian fencing).",Repair/Maintenance,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Klamath,18010204,"c(-121.57225, 42.1693)"
10729,ecoatlas,NA,Post Mile 71.56,NA,Construction planned,NA,NA,NA,NA,NA,Not provided,Impact,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Trinity,18010211,"c(-122.74456, 40.63723)"
8146,ecoatlas,NA,Salmon River,NA,Planning/Scoping,NA,NA,NA,NA,NA,This project is a critical component of a comprehensive planning effort that will lead to strategic restoration of floodplains and mine-tailings within the 57 river miles in the project area of the Salmon River. The portion of the project funded by this grant will advance environmental compliance and permitting analysis for the project area.,Non-mitigation,NA,https://ecoatlas.org/regions/ecoregion/statewide/projects,Siskiyou,18010210,"c(-123.19989, 41.23188)"
