,Mainstem Klamath R.,Klamath Basin,Klamath Basin,Klamath Basin,Klamath Basin,,,,
,natural spawners,natural spawners,natural spawners,escapement,in-river run a,,,,
Year,IGD to Indian Cr.b,above Trinity R.,(includes Trinity Basin),(hatchery + natural),TOTAL,,,,
2001,72.60%,17.40%,9.10%,5.30%,3.80%,,,,
2002,73.30%,27.20%,22.20%,15.50%,8.90%,,,,
2003,77.70%,23.70%,14.80%,8.60%,6.70%,,,,
2004,84.90%,40.20%,18.50%,9.50%,5.70%,,,,
2005,89.50%,32.60%,16.50%,8.30%,7.00%,,,,
2006,67.30%,21.20%,10.00%,6.10%,4.90%,,,,
2007,79.30%,25.60%,9.00%,5.70%,4.10%,,,,
2008,69.30%,21.30%,13.10%,9.10%,5.70%,,,,
2009,53.70%,15.40%,9.60%,6.70%,4.20%,,,,
2010,65.00%,15.80%,6.40%,4.30%,2.60%,,,,
2011,67.70%,15.60%,5.80%,3.90%,2.60%,,,,
2012,62.80%,15.70%,9.40%,6.40%,3.90%,,,,
2013,57.20%,22.00%,11.80%,9.10%,4.20%,,,,
2014,69.10%,21.80%,16.20%,12.20%,9.60%,,,,
2015,32.70%,10.40%,8.60%,6.20%,3.10%,,,,
2016,24.40%,6.80%,5.10%,4.00%,2.90%,,,,
2017,76.50%,21.60%,16.20%,10.10%,9.40%,,,,
,Estimated,,,,,,,,
,hatchery-origin,Escapement estimate,,,,,,,
Year,proportion,Total Hatchery-origin,,,,,,,
2001,11.80%,"7,828 925",,,,,,,
2002,14.20%,"14,394 2,043",,,,,,,
2003,3.80%,"12,958 489",,,,,,,
2004,1.20%,"4,715 58",,,,,,,
2005,26.60%,"4,585 1,222",,,,,,,
2006,22.70%,"3,587 815",,,,,,,
2007,39.80%,"5,523 2,201",,,,,,,
2008,37.00%,"4,894 1,810",,,,,,,
2009,25.10%,"4,427 1,112",,,,,,,
2010,48.10%,"2,572 1,238",,,,,,,
2011,40.90%,"4,880 1,995",,,,,,,
2012,45.30%,"12,626 5,726",,,,,,,
2013,31.70%,"7,358 2,329",,,,,,,
2014,24.50%,"16,720 4,096",,,,,,,
2015,26.20%,"2,507 657",,,,,,,
2016,28.10%,746 210,,,,,,,
2017,19.80%,"4,740 939",,,,,,,
Year,F̂ fs,F̂ps,n,N̂e,,,,,
2001,"3,100",49,"3,776","11,800,000",,,,,
2002,"6,589",310,"3,656","24,700,000",,,,,
2003,"6,718",296,"3,333","23,000,000",,,,,
2004,"1,948",181,"3,572","7,300,000",,,,,
2005,"1,767",371,"2,890","5,600,000",,,,,
2006,"1,506",120,"3,080","4,800,000",,,,,
2007,"3,732",131,"2,834","10,800,000",,,,,
2008,"2,255",74,"3,513","8,100,000",,,,,
2009,"2,743",42,"3,030","8,400,000",,,,,
2010,"1,291",17,"3,024","3,900,000",,,,,
2011,"1,326",31,"3,550","4,800,000",,,,,
2012,"6,206",291,"3,402","21,600,000",,,,,
2013,"4,181",168,"3,401","14,500,000",,,,,
2014,"7,935",528,"3,349","27,500,000",,,,,
2015,"1,408",21,"2,749","3,900,000",,,,,
2016,380,27,"2,590","1,000,000",,,,,
2017,"1,916",41,"2,551","4,900,000",,,,,
